src	tgt
लेकिन	अपर
अन्धा	अन्हां
बेअन्दाज़	जिद्द
हम	असां
हमने	असां
जिद्द	अड़ी
अश्रु	अत्थरू
आँसु	अत्थरू
समझ	अक्कल
आस	अल्दा
आलस	अलख
फैलना	अडणा
खर्च	अखराजात
आवश्यकताएं	अखराजात
असली	असल
स्वयं	अप्पू
फिजूल	अरड़-बरड़
हमने	असां
हम	असां
जी	अड़यो
आपस	अप्पू
हांफना	अफणा
लेकिन	अपण
अपनी	अपणी
आधी	अदी
आरक	कोहनी
ओलावृष्टि	आहूण
आसे-पासे	आले-दुआले
आंखें	आखीं
वस्त्र	ओढण
गुप्त कमरा	ओबरी
नकली	ओपरा
बनावटी	ओपरा
उफ	ओहलै
कपड़ा	ओढण
ओह	ओल्है
उधर	ओथु
वहां	ओथु
बे औलाद	औत्तर
निःसंतान	औत्तर
कठिन	औखा
कड़वा	औड़का
आमदनी	औनणी
आमदनी	औदंणी
बराबर	इकलख्तु
अब	इब्बे
यहां	इत
इसने	इन्नी
ऐसे	इआं
ऐसे	इयां
इल्लण	ईल
इन्नीचें	यहांसे
इंचै	यहांसे
उसका	उदा
आवाज	उआज
उसने	उन्नी
उत्सुकता	उसमुसी
जिज्ञासा	उसमुसी
जल्दबाजी	उसमुसी
इसपार	उआर
निरर्थक	उट्ट पटांग
निरर्थक	फुटकर
उन्दल	अंजली
उछलना	उआंस
उछलना	उटकणा
बैसे	ऊइयां
उपर	ऊच्चा
नकारा	ऊत
बेकार	ऊत
कपटी	ऐबी
कपटी	ऐबी
यूंही	ऐमे ही
ऐसे	ऐइयां
यहां	एथु
गर्दन	क्याड़ी
सूद	कराड़
और	कने
छुरी	करद
तिनका	कख
कुछ	कख
करतूत	सोहवत
करतूत	गुण
कठिन	करड़ा
कठोर	करड़ा
निकालना	कडणा
कम्पन	कमणी
साहस	करेर
ताकत	करेर
कफ़न	कफ्फण
कांटा	कण्डा
चूहादानी	कड़ाकी
क्यों	कजो
कब	कदूँ
कैसा	कदेया
साथ	कन्नै
कपटी	कपत्त
नज़दीक	कच्छ
किनारा	कच्छ
बगल	कच्छ
गाली	कडोला
किनारा	कण्ढा
सख्त	कडीजंग
अपशब्द	कड़ोले
कब	कदूं
मुश्किल	करड़ा
मुश्किल	करड़ा
मुश्किल	करड़ा
कमी	कसर
बीमार	कसरी
मकड़ी	कणहा
उबलना	कढ़ना
असभ्य	कसोबता
कहानी	कहाणी
कौआ	का
नौकर	काम्मा
कालजा	कलेजा
कालजा	कालजू
कठोर	काट्ठा
बलिष्ठ	काट्ठा
कब	काहलू
जल्दबाज	काहला
करतूत	कारस्तानी
शरारत	कारस्तानी
काहली	जल्दबाजी
एकादशी	कादसी
बचत	किरस
कंजूसी	किरस
कर्राहना	किल्हणा
बून्दा	किण
बान्दी	किणात
कैसे	कियां
टोलियां	किढ़ियां
अकेला	किल्हा
एकत्रित	किट्ठा
खूटी	कीलणी
कैसे	की
खूटी	कीला
खूटी	कील्ला
मुर्गा	कुक्कड़
कुनकी	किसीने
कहां	कतांह
कहां	कुथु
अंकुर	कुर
किधर	कुतांह
कहां	कुतांह
कुल्हाड़ी	कुहाड़ी
कौन	कुण
समधी	कुड़म
मार	कुट
कुटाई	कुट
कुटना	कुट
लड़की	कुड़ी
