src	tgt	freq
।	।	572
आज	आज	235
काम	काम	133
एक	एक	100
हिमाचल	हिमाचल	93
दो	दुई	93
जी	जी	87
पर	पर	85
राम	राम	78
बात	बात	75
ठीक	ठीक	72
ब	ब	67
आप	तु	66
भाई	भाई	61
अर्जुन	अर्जुन	57
प	प	56
हाथ	हाथ	55
कि	कि	54
तुम	तु	50
ना	ना	50
सु	सु	49
दुनिया	दुनिया	48
तू	तु	46
र	र	45
देश	देश	44
का	का	43
ग	ग	43
न	ना	42
था	थियो	41
कुमार	कुमार	40
कुल	कुल	40
रानी	रानी	39
मेरी	मेरो	39
ओह	ओह	38
म	म	37
फ	फ	37
दिल्ली	दिल्ली	37
माइक	माइक	37
ल	ल	36
पांच	पांच	35
या	या	34
थी	थी	34
स	स	34
सात	सात	34
बारे	बारे	33
खुश	खुश	33
हाय	हाय	31
मेरे	मेरो	31
आ	आ	30
शर्मा	शर्मा	30
सो	सो	30
जॉन	जॉन	29
को	।	28
पसंद	पसंद	28
सीता	सीता	28
सिंह	सिंह	28
ने	##े	28
प्रेम	प्रेम	28
खेल	खेल	27
श	श	27
माँ	आमा	27
माता	माता	26
ज	ज	26
आठ	आठ	26
सि	सि	26
बोल	बोल	25
साथ	साथ	25
लेकिन	पर	25
मार	मार	25
शहर	शहर	25
दीपक	दीपक	25
बोला	बोल	24
दोनों	दुई	24
धन्यवाद	शुक्र	24
प्रधान	प्रधान	24
गंगा	गंगा	24
नारायण	नारायण	24
ठीक	ठिक	23
शादी	शादी	23
के	के	23
सा	सा	23
दुकान	दुकान	23
मां	आमा	23
राजा	राज	22
बाद	##छ	22
च	च	22
पी	पी	22
बस	बस	22
न	न	22
राज	राज	22
व	व	22
मेरा	मेरो	22
अरे	अरे	21
सुख	सुख	21
कु	कु	21
भाषा	भाषा	21
दत्त	दत्त	21
फैसला	फैसला	20
थे	थे	20
दूर	दूर	20
कोरोना	कोरोना	20
पुलिस	पुलिस	20
राधा	राधा	20
भारत	भारत	20
मै	मै	19
आग	आग	19
हार	हार	19
लाल	लाल	19
राजा	राजा	19
फिर	फिर	18
कौन	कुन	18
कहा	बोल	18
बाबा	बाबा	18
है	।	17
तो	ता	17
कर	##ंदै	17
और	आ	17
जाम	जाम	17
से	का	17
कोशिश	कोशिश	17
के	।	17
कला	कला	17
था	##यो	17
ट	ट	17
तीन	त्	17
सेवा	सेवा	17
रोटी	रोटी	17
बिना	बिना	17
था	थे	16
धो	धो	16
है	##स	16
पेट	पेट	16
याद	याद	16
सत्य	सत्य	16
योजना	योजना	16
शौक	शौक	16
बोली	बोल	16
क	क	16
जीवन	##िंदगी	16
“	“	16
हर	हर	16
खा	खा	16
मे	मे	16
ने	।	16
वोट	वोट	16
भक्त	भक्त	16
के	##ह	16
स्कूल	स्कूल	16
मीना	मीना	16
धर्म	धर्म	16
प्रदेश	प्रदेश	15
अच्छा	अच्छा	15
शिमला	शिमला	15
उ	उ	15
महीने	महीना	15
कुत्ते	कुकुर	15
बि	बि	15
बोलते	बोल	15
आया	आ	15
अ	अ	15
कान	कान	15
की	।	15
ओ	ओ	15
मास्टर	मास	15
पंडित	पंडित	15
जिला	जिला	15
देवी	देवी	14
देखा	देखो	14
